Name,Assignee,Created By,Created Date,Optional Due Date,Status,Tags,Team
Налаштування середовища: Створити репозиторій на GitHub та налаштувати локальне оточення,"Yoduke ","Yoduke ","January 6, 2026 12:02 PM","January 13, 2026",In Progress,🔥  Important,Engineering
Аутентифікація: Впровадження системи входу користувачів через JWT або OAuth,,"Yoduke ","January 6, 2026 12:02 PM",,To Do,,Engineering
Інтеграція OpenAI: Підключення моделі ШІ для генерації відповідей на запитання про продукт,,"Yoduke ","January 6, 2026 12:02 PM",,To Do,,Engineering
Розробка API: Створення REST або GraphQL ендпоінтів для обміну повідомленнями,,"Yoduke ","January 6, 2026 12:02 PM",,To Do,,Engineering
"Інтеграційні тести: Перевірка взаємодії між API, базою даних та OpenAI",,"Yoduke ","January 6, 2026 12:03 PM",,Testing,🔥  Important,QA
Аналіз вимог: Описати функціональні можливості чатбота та вимоги до швидкодії,"Yoduke ","Yoduke ","January 6, 2026 12:43 PM","January 13, 2026",Done,🔥  Important,Design
"Функціональна схема: Створити схему того, як користувач взаємодіє з ботом",,"Yoduke ","January 6, 2026 12:44 PM",,To Do,,Design
Проектування бази даних: Визначити таблиці для користувачів та історії їхніх чатів,,"Yoduke ","January 6, 2026 12:44 PM",,To Do,,Design
Система кешування: Впровадження Redis для прискорення роботи системи,,"Yoduke ","January 6, 2026 12:48 PM",,To Do,,DevOps
Автоматизація (CI/CD): Налаштування GitHub Actions для автоматичного деплою,,"Yoduke ","January 6, 2026 12:49 PM",,To Do,,DevOps
"Розгортання у хмарі: Налаштування інфраструктури в AWS, Google Cloud або Azure",,"Yoduke ","January 6, 2026 12:50 PM",,To Do,,DevOps
Юніт-тестування: Написання тестів для перевірки логіки відповідей бота,,"Yoduke ","January 6, 2026 12:50 PM",,Testing,🔥  Important,QA
Моніторинг: Налаштування системи логування для відстеження помилок,,"Yoduke ","January 6, 2026 12:51 PM",,Testing,🔥  Important,QA
